# Obs_ID	RA[deg]			Dec[deg]		filt	exp_time[s]
2201r8303	110.5478075		-3.97684893		r		20
2201i8303	110.5478075		-3.97684893		i		20
2231i8303	111.95213711	-6.61818287		i		20
2231r8303	111.95213711	-6.61818287		r		20
2231g8303	111.95213711	-6.61818287		g		20
2261g8303	113.38373271	-9.2490713		g		20
2261r8303	113.38373271	-9.2490713		r		20
2261i8303	113.38373271	-9.2490713		i		20
2291i8303	114.84909508	-11.8676266		i		20
2291r8303	114.84909508	-11.8676266		r		20
2291g8303	114.84909508	-11.8676266		g		20
2321g8303	116.35511714	-14.47179442	g		20
2321r8303	116.35511714	-14.47179442	r		20
2321i8303	116.35511714	-14.47179442	i		20
2351i8303	117.90918254	-17.05931638	i		20
2351r8303	117.90918254	-17.05931638	r		20
2351g8303	117.90918254	-17.05931638	g		20
2381g8303	119.51927126	-19.62768753	g		20
2381r8303	119.51927126	-19.62768753	r		20
2381i8303	119.51927126	-19.62768753	i		20
2411i8303	121.19407331	-22.17410723	i		20
2411r8303	121.19407331	-22.17410723	r		20
2411g8303	121.19407331	-22.17410723	g		20
2441g8303	122.94311091	-24.69542203	g		20
2441r8303	122.94311091	-24.69542203	r		20
2441i8303	122.94311091	-24.69542203	i		20
2471i8303	124.77686845	-27.18805908	i		20
2471r8303	124.77686845	-27.18805908	r		20
2471g8303	124.77686845	-27.18805908	g		20
2501g8303	126.70692823	-29.64794821	g		20
2501r8303	126.70692823	-29.64794821	r		20
2501i8303	126.70692823	-29.64794821	i		20
2500i8303	116.7270839		-35.04030633	i		20
2500r8303	116.7270839		-35.04030633	r		20
2500g8303	116.7270839		-35.04030633	g		20
2470g8303	114.95817616	-32.43861878	g		20
2470r8303	114.95817616	-32.43861878	r		20
2470i8303	114.95817616	-32.43861878	i		20
2440i8303	113.27514763	-29.82005679	i		20
2440r8303	113.27514763	-29.82005679	r		20
2440g8303	113.27514763	-29.82005679	g		20
2410g8303	111.66484927	-27.18760786	g		20
2410r8303	111.66484927	-27.18760786	r		20
2410i8303	111.66484927	-27.18760786	i		20
2380i8303	110.11577334	-24.54387809	i		20
2380r8303	110.11577334	-24.54387809	r		20
2380g8303	110.11577334	-24.54387809	g		20
2350g8303	108.61775582	-21.89117042	g		20
2350r8303	108.61775582	-21.89117042	r		20
2350i8303	108.61775582	-21.89117042	i		20
2320i8303	107.16172785	-19.23154822	i		20
2320r8303	107.16172785	-19.23154822	r		20
2320g8303	107.16172785	-19.23154822	g		20
2290g8303	105.73950697	-16.5668878		g		20
2290r8303	105.73950697	-16.5668878		r		20
2290i8303	105.73950697	-16.5668878		i		20
2260i8303	104.3436205		-13.89892227	i		20
2260r8303	104.3436205		-13.89892227	r		20
2260g8303	104.3436205		-13.89892227	g		20
2230g8303	102.96715443	-11.22927899	g		20
2230r8303	102.96715443	-11.22927899	r		20
2230i8303	102.96715443	-11.22927899	i		20
2200i8303	101.6036224		-8.55951219		i		20
2200r8303	101.6036224		-8.55951219		r		20
2200g8303	101.6036224		-8.55951219		g		20
2200g9303	101.6036224		-8.55951219		g		20
2200r9303	101.6036224		-8.55951219		r		20
2200i9303	101.6036224		-8.55951219		i		20
2230i9303	102.96715443	-11.22927899	i		20
2230r9303	102.96715443	-11.22927899	r		20
2230g9303	102.96715443	-11.22927899	g		20
2260g9303	104.3436205		-13.89892227	g		20
2260r9303	104.3436205		-13.89892227	r		20
2260i9303	104.3436205		-13.89892227	i		20
2290i9303	105.73950697	-16.5668878		i		20
2290r9303	105.73950697	-16.5668878		r		20
2290g9303	105.73950697	-16.5668878		g		20
2320g9303	107.16172785	-19.23154822	g		20
2320r9303	107.16172785	-19.23154822	r		20
2320i9303	107.16172785	-19.23154822	i		20
2350i9303	108.61775582	-21.89117042	i		20
2350r9303	108.61775582	-21.89117042	r		20
2350g9303	108.61775582	-21.89117042	g		20
2380g9303	110.11577334	-24.54387809	g		20
2380r9303	110.11577334	-24.54387809	r		20
2380i9303	110.11577334	-24.54387809	i		20
2410i9303	111.66484927	-27.18760786	i		20
2410r9303	111.66484927	-27.18760786	r		20
2410g9303	111.66484927	-27.18760786	g		20
2440g9303	113.27514763	-29.82005679	g		20
2440r9303	113.27514763	-29.82005679	r		20
2440i9303	113.27514763	-29.82005679	i		20
2470i9303	114.95817616	-32.43861878	i		20
2470r9303	114.95817616	-32.43861878	r		20
2470g9303	114.95817616	-32.43861878	g		20
2500g9303	116.7270839		-35.04030633	g		20
2500r9303	116.7270839		-35.04030633	r		20
2500i9303	116.7270839		-35.04030633	i		20
2501i9303	126.70692823	-29.64794821	i		20
2501r9303	126.70692823	-29.64794821	r		20
2501g9303	126.70692823	-29.64794821	g		20
2471g9303	124.77686845	-27.18805908	g		20
2471r9303	124.77686845	-27.18805908	r		20
2471i9303	124.77686845	-27.18805908	i		20
2441i9303	122.94311091	-24.69542203	i		20
2441r9303	122.94311091	-24.69542203	r		20
2441g9303	122.94311091	-24.69542203	g		20
2411g9303	121.19407331	-22.17410723	g		20
2411r9303	121.19407331	-22.17410723	r		20
2411i9303	121.19407331	-22.17410723	i		20
2381i9303	119.51927126	-19.62768753	i		20
2381r9303	119.51927126	-19.62768753	r		20
2381g9303	119.51927126	-19.62768753	g		20
2351g9303	117.90918254	-17.05931638	g		20
2351r9303	117.90918254	-17.05931638	r		20
2351i9303	117.90918254	-17.05931638	i		20
2321i9303	116.35511714	-14.47179442	i		20
2321r9303	116.35511714	-14.47179442	r		20
2321g9303	116.35511714	-14.47179442	g		20
2291g9303	114.84909508	-11.8676266		g		20
2291r9303	114.84909508	-11.8676266		r		20
2291i9303	114.84909508	-11.8676266		i		20
2261i9303	113.38373271	-9.2490713		i		20
2261r9303	113.38373271	-9.2490713		r		20
2261g9303	113.38373271	-9.2490713		g		20
2231g9303	111.95213711	-6.61818287		g		20
